id,artist,title,duration
WuXLDf6H9JI,Easy Wanderlings,Easy Wanderlings - Faces,252
LbHWzPljLL0,JILLZAY,"Jillzay ft. 104, Скриптонит, Truwer - Аргумент 3 (2016)",227
CtiYkYynNDE,Celia Cruz,CELIA CRUZ & CARLOS ARGENTINO (Mi amor buenas noches),147
EWa6Sz9nkag,Dr BLT,Bye George (Christmas Tribute to George Harrison),296
b84Z3IRg3VA,,"""Minecraft Style"" - A Parody of PSY's Gangnam Style (Music Video)",237
2cVmV2CHXx8,"Diego Carrasco, Carrasco Family Band",Taqatac,152
tWsGEeAJ5lQ,Edward R.,Edward R. -  Call Me Home (Official Video),221
xUcgVJlN2dw,Key Cuddy,Rayven Justice -Back Again,246
4NjPgXszRO0,"Clean Bandit, Jess Glynne",Real Love (Extended),300
b84Z3IRg3VA,,"""Minecraft Style"" - A Parody of PSY's Gangnam Style (Music Video)",237
2cVmV2CHXx8,"Diego Carrasco, Carrasco Family Band",Taqatac,152
tWsGEeAJ5lQ,Edward R.,Edward R. -  Call Me Home (Official Video),221
xUcgVJlN2dw,Key Cuddy,Rayven Justice -Back Again,246
4NjPgXszRO0,"Clean Bandit, Jess Glynne",Real Love (Extended),300
b84Z3IRg3VA,,"""Minecraft Style"" - A Parody of PSY's Gangnam Style (Music Video)",237
2cVmV2CHXx8,"Diego Carrasco, Carrasco Family Band",Taqatac,152
tWsGEeAJ5lQ,Edward R.,Edward R. -  Call Me Home (Official Video),221
xUcgVJlN2dw,Key Cuddy,Rayven Justice -Back Again,246
4NjPgXszRO0,"Clean Bandit, Jess Glynne",Real Love (Extended),300
m9ktk7IYiSA,Juan España,Caballo Negro,210
V40LzMHsW8Y,"Alan Estrada ,Natalia Sosa, Ana Brenda Contreras, Alejandro de la Madrid, Federico di Lorenzo, Sergio Enrique Catalán, Maru Barrios, Erika Tahis Moreno",Rompecabezas,158
s1d-xzNx64w,,Remove - Fictional Characters,433
Iii9yMJdCfA,Villagers,No One To Blame,215
Zf3t9h0ZcfM,Semma,Semma - Fantasy,127
